Ticker (all values in $ billions),"Market Capitalization Growth %, YoY FY 2013","S&P 500 Growth %, YoY FY 2013",Relative Performance to S&P 500,- Cash & Equivalents FY 2012,"- Cash & Equivalents Growth %, YoY FY 2012",+ Preferred & Other FY 2012,"+ Preferred & Other Growth %, YoY FY 2012",+ Total Debt FY 2012,"+ Total Debt Growth %, YoY FY 2012",Net Debt to EBITDA FY 2012,Enterprise Value FY 2012,Enterprise Value to Revenue FY 2012,Enterprise Value to EBITDA FY 2012,Enterprise Value to Free Cash Flow FY 2012,"Enterprise Value Growth %, YoY FY 2012","Revenue, Adj FY 2012","Revenue Growth %, YoY FY 2012","Gross Profit, Adj FY 2012",Gross Margin % FY 2012,"EBITDA, Adj FY 2012",EBITDA Margin % FY 2012,"EBITDA Growth %, YoY FY 2012","Net Income, Adj FY 2012",Net Income Margin % FY 2012,"Net Income Growth %, YoY FY 2012","EPS, Adj FY 2012","EPS Growth %, YoY FY 2012",Cash from Operations FY 2012,"Cash from Operations Growth %, YoY FY 2012",Capital Expenditures FY 2012,"Capital Expenditures Growth %, YoY FY 2012",Free Cash Flow FY 2012,"Free Cash Flow Growth %, YoY FY 2012",Return on Common Equity FY 2012,Return on Assets FY 2012,Return on Capital FY 2012,Return on Invested Capital FY 2012,Operating Margin FY 2012,Sustainable Growth Rate FY 2012,Altman's Z-Score FY 2012,Cash Ratio FY 2012,Current Ratio FY 2012,Quick Ratio FY 2012,CFO/CapEx FY 2012,Weighted Average Cost of Cap FY 2012,Sales per Employee FY 2012,WACC Economic Value Added FY 2012,Asset Turnover FY 2012,Total Debt to Total Equity FY 2012,Price to Sales Ratio FY 2012,R & D Expenditure to Net Sales FY 2012,Total Debts to Total Capital FY 2012,Trailing 12M EBIT Margin FY 2012,Interest Expense FY 2012,EBIT to Interest Expense FY 2012,Price Earnings Ratio (P/E) FY 2012,Total Invested Capital FY 2012,Earnings Yield FY 2012
MA ,0.647797934,0.296,0.351797934,5003,0.010911295,12,0.333333333,0,0,-1.20062395,55556.2706,7.516746124,13.33243835,19.47975827,0.295208331,7391,0.100834,—,0,4167,0.563793803,0.433436533,2759,0.373291841,0.447534103,2.203,0.180663487,2948,0.098360656,-96,0.246753247,2852,0.093977752,0.4316,0.238307,0.433083,0.422926,0.532675,0.408135,9.9869,1.0198,1.9073,1.2059,30.7083,0.105729382,985466.6667,2041.449289,0.638393436,0,8.328694899,#VALUE!,0,0.532674875,20,196.85,22.30069267,7067,0.044841656
KMX ,0.244865871,0.296,-0.051134129,442.658,9.764767394,0,0,5052.706,0.149675635,5.887883602,11580.3199,1.157615364,14.79020948,-49.32581356,-0.061817328,10003.599,0.114538,1378.761,0.137826496,782.972,0.078269031,0.089387208,413.795,0.041364613,0.096160214,1.79,0.084848485,-62.164,8.198579461,-172.608,1.253956647,-234.772,1.817106242,0.168471,0.053541,0.060545,0.060533,0.069991,0.168471,2.6847,0.6849,2.8677,0.8186,-0.3601,0.076971888,607752.0656,-164.5088144,1.294370118,189.0196146,0.694209612,0,65.40027218,0.06999081,33.714,20.76763362,17.1452514,7728.943,0.058325187
ICE ,1.86185306,0.296,1.56585306,1612,0.958809112,33,-0.191493532,1132,0.275492958,-0.501043841,8591.13,6.303103448,8.967776618,12.91899248,-0.02773485,1363,0.026749,—,0,958,0.702861335,0.035324225,552,0.404988995,0.083047366,1.5501,0.093159379,733,0.028382227,-68,-0.224054316,665,0.063770226,0.16318,0.015048,0.133143,0.126941,0.60675,0.16318,0.434,0.05,1.0466,0.0539,10.7794,0.093948093,1265552.461,38.10797749,0.037157764,30.78596682,6.631056493,0,23.53919734,0.606749817,39,21.20512821,15.97421418,4960,0.062600888
FIS ,0.523733688,0.296,0.227733688,517.6,0.245728039,152.7,0.030364372,4385.5,-0.11421935,2.221143907,14258.221,2.455096942,8.187792006,15.44769339,0.143226647,5807.6,0.032352,1860.7,0.320390523,1741.4,0.299848474,0.009565772,461.2,0.079413183,-0.017887564,1.861,0.107672162,1046.7,-0.10653009,-123.7,-0.001614205,923,-0.118938526,0.070177,0.033667,0.055924,0.060489,0.185825,0.039862,6.0457,0.4118,1.4674,1.1484,8.4616,0.077512768,165931.4286,-285.3739149,0.423943354,64.5534032,1.749011296,0,39.22945497,0.18582547,231.3,4.665801989,18.70491691,11793.5,0.053461879
CMG ,0.787641682,0.296,0.491641682,472.859,0.036407831,0,0,0,-1,-0.875672923,8776.0648,3.213235092,16.25212233,39.36761437,-0.131294666,2731.224,0.203422,740.34,0.271065281,539.995,0.197711722,0.269083431,278,0.101785866,0.293354114,8.8528,0.286968657,419.963,0.021569171,-197.037,0.303611716,222.926,-0.142424091,0.242779,0.179704,#VALUE!,0.231361,0.166909,0.242779,16.9387,2.5307,2.9253,2.6206,2.1314,0.099234724,73203.53793,131.2047887,1.765511357,0,3.432108454,0,0,0.166908683,#N/A N/A,#N/A N/A,33.60063835,1285.112,0.029761339
WYNN ,0.732039293,0.296,0.436039293,1725.219,0.366415938,362.969,1.700019341,5810.757,0.798359033,2.913091499,15795.0034,3.064441812,11.26223526,16.7190131,-0.008050216,5154.284,-0.021919,1902.709,0.369150982,1402.475,0.272098899,-0.002705011,502.036,0.097401695,-0.181513309,5.2228,-0.047386277,1185.718,-0.21777898,-240.985,0.308662692,944.733,-0.290575352,#VALUE!,0.070829,0.178686,0.179354,0.199693,#VALUE!,2.3127,1.5249,1.9466,1.694,4.9203,0.098482539,#N/A N/A,446.0628647,0.727179921,5590.921949,2.249937931,0,98.24281547,0.199693304,288.759,3.564481107,21.53820998,6076.233,0.046429114
AIZ ,0.746470251,0.296,0.450470251,909.404,-0.220541813,0,0,972.399,0.00012445,0,2792.6368,0.328226161,0,4.480829727,-0.188275653,8508.27,0.028463,—,0,—,0,0,483.705,0.056851158,-0.102514862,6.4897,0.133275124,679.698,-0.205314134,-56.457,0.579349316,623.241,-0.239539166,0.096171,0.017286,0.087005,0.076512,0.096148,0.082374,—,—,—,—,12.0392,0.071919648,582758.2192,235.8945369,0.30404884,18.75275535,0.343711708,#VALUE!,15.79142757,#VALUE!,60.306,#N/A N/A,5.346926958,26717.281,0.187023314
NRG ,0.25377853,0.296,-0.04222147,2087,0.888687783,768,0.773672055,15883,0.615439382,9.29023569,21980.7326,2.60991838,14.80184013,-9.782257499,0.654844965,8422,-0.072365,2282,0.270957017,1485,0.176323914,-0.14507772,286,0.03395868,0.521276596,1.7422,-0.325878347,1149,-0.01457976,-3396,0.47012987,-2247,0.964160839,0.033188,0.009534,0.033732,0.024871,0.041558,0.028342,0.7931,0.4469,1.7071,0.6741,0.3383,0.051448539,957916.2875,-3233.431741,0.27219107,151.0077962,0.633303253,0.008074092,60.16059998,0.041557825,661,0.529500756,13.1957925,25285,0.075781731
MNST ,0.290643636,0.296,-0.005356364,319.556,-0.585322334,0,0,0,-1,-0.55946147,8440.0478,4.095714858,14.77638208,34.48563093,0.162632717,2060.702,0.209879,1065.656,0.517132511,571.185,0.277179815,0.206286285,340.02,0.165002024,0.187971448,0.6209,0.215306322,287.676,-0.138248254,-42.935,0.680298998,244.741,-0.206095207,0.418859,0.282676,0.418613,0.414284,0.267202,0.418859,20.3411,1.1075,2.8941,1.9255,6.7003,0.084259664,1697448.105,285.9310037,1.713165766,0,4.454279212,0,0,0.267201662,0.05,11012.46,28.36609875,652.727,0.03525335
RF ,0.352139332,0.296,0.056139332,5489,-0.242374051,500,-0.857142857,7435,-0.334794668,0,—,0,0,0,0,6003,-0.061298,—,0,—,0,0,991,0.165084125,-3.31002331,0.7441,2.449698656,2441,-0.486429623,-180,-0.104477612,2261,-0.503295255,0.070791,0.009018,0.04426,0.054144,0.307593,0.06715,—,—,—,—,13.5611,0.101737493,256242.7968,-594.2608459,0.048333917,47.97083683,1.640268199,#VALUE!,32.41911572,#VALUE!,#N/A N/A,#N/A N/A,9.582483274,24020,0.104357083
MOS ,0.001969445,0.296,-0.294030555,3811,-0.024421462,16.3,-0.197044335,1053,0.264257414,-0.884201077,17544.7276,1.579496174,5.624752372,16.45075256,-0.386257802,11107.8,0.117732,3085,0.277732764,3119.2,0.280811682,0.002442473,1930.2,0.173769783,-0.232402768,4.43,-0.002184832,2705.8,0.115012156,-1639.3,0.297735909,1066.5,-0.083369145,0.163405,0.118865,0.151235,0.143045,0.235069,0.153289,5.2566,1.9873,3.4318,2.3792,1.6506,0.127819316,1388475,313.2178064,0.684034695,8.775438772,1.86808693,0,8.067481842,0.235069051,1.4,1865.071429,10.76297968,13857,0.092911074
EXPE ,0.086503872,0.296,-0.209496128,1938.143,0.448588254,122.602,0.164278321,1249.345,5.12E-05,-1.097378265,7748.4792,1.922534015,12.3447116,7.73698977,0.990284478,4030.347,0.168552,3131.743,0.777040538,627.676,0.155737459,-0.101252882,280.171,0.069515354,-0.406786874,2.7036,0.109078229,1237.182,0.498290601,-235.697,0.134047354,1001.485,0.620809138,0.125073,0.041087,0.098915,0.098188,0.107118,0.071841,2.3846,0.6439,0.8778,0.7972,5.249,0.093407708,326873.236,319.2427369,0.591046461,51.99406041,2.045836827,0.120311725,34.20795541,0.10711832,87.788,4.917801977,22.72520478,4048.768,0.044004004
EVRG ,0,0.296,-0.296,—,0,—,0,—,0,0,—,0,0,0,0,—,0,—,0,—,0,0,—,0,0,—,0,—,0,—,0,—,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,—,—,—,—,—,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!
DISCA ,0.359675984,0.296,0.063675984,1201,0.145992366,4,0,5243,0.235100118,2.0250501,19614.7926,4.371471495,9.827050401,19.19255636,0.411728272,4487,0.076536,3269,0.728549142,1996,0.444840651,0.038501561,943,0.210162692,-0.166961131,1.2884,-0.050202728,1099,-0.000909091,-77,0.327586207,1022,-0.019193858,0.147298,0.075917,0.098761,0.102325,0.414308,0.147298,5.6296,1.2696,2.8858,2.4641,14.2727,0.0823783,997111.1111,137.1381155,0.361228515,83.31479422,5.319474036,0,45.44902913,0.414308001,248,7.495967742,24.63605736,11805,0.040590911
CF ,0.017655814,0.296,-0.278344186,2274.9,0.884755592,380,-0.015288935,1605,-0.007911979,-0.201038353,12499.1618,2.047700164,3.751023888,6.748643054,0.215719214,6104,0.001,3113.3,0.510042595,3332.2,0.545904325,0.055662918,1848.7,0.302866972,0.201078482,5.5581,0.217973441,2375.6,0.142719708,-523.5,1.117718447,1852.1,0.011137195,0.353845,0.193162,0.278793,0.24266,0.47713,0.334276,4.8028,2.3941,2.9547,2.6229,4.5379,0.109064644,2441600,1026.418898,0.637779891,25.54837477,2.126789646,0,20.34942692,0.477129751,135.3,21.52549889,7.310360273,8852.8,0.136792164
VIAB ,0.382124193,0.296,0.086124193,932,-0.144168962,170,0.205673759,8149,0.106449423,1.744500846,34557.13,2.488451789,8.353185883,14.7428029,0.220917906,13887,-0.068861,6894,0.496435515,4137,0.297904515,0.039186134,1981,0.142651401,-0.072565543,4.2093,0.113600889,2498,-0.055219365,-154,-0.006451613,2344,-0.058256328,0.246209,0.087945,0.144945,0.180214,0.28091,0.187518,4.9696,0.2433,1.2671,0.9047,16.2208,0.091565271,1405566.802,1059.300654,0.616501299,106.9703334,2.04797386,0,51.68389675,0.280910204,425,9.178823529,12.73132695,14715,0.078546408
GOOG ,0,0.296,-0.296,48088,0.077578093,0,0,5537,0.317078972,-2.53340081,190869.545,4.145822998,11.36398815,14.30162933,0.126554672,46039,0.214589,28863,0.626924998,16796,0.36482113,0.235635989,10737,0.233215317,0.102701037,—,0,16619,0.141023,-3273,-0.047993019,13346,0.199424823,0.165363,0.129072,0.154796,0.158319,0.300484,0.165363,9.1485,3.3541,4.2166,3.9041,5.0776,0.101191916,854774.3265,1512.203295,0.553446493,7.720839434,#N/A Field Not Applicable,0.13212711,7.167451975,0.300484372,85,162.7529412,#N/A Field Not Applicable,76575,#VALUE!
TEL ,0.487385365,0.296,0.191385365,1589,0.304597701,6,-0.4,3711,0.391451069,0.997649271,16503.4854,1.242545204,7.759043441,11.67148897,0.233067555,13282,-0.035999,4046,0.304622798,2127,0.160141545,-0.055086628,1112,0.083722331,-0.106827309,2.8535,-0.124021489,1947,0.094435076,-533,-0.071428571,1414,0.173443983,0.143995,0.060061,0.115393,0.148909,0.11429,0.102854,2.4535,0.3969,1.6241,0.982,3.6529,0.10675199,150931.8182,26.79074722,0.717383672,46.52124859,1.090819154,0.051799428,31.75051335,0.114290017,176,8.625,11.91874646,9717,0.083901441
COO ,0.333850755,0.296,0.037850755,12.84,1.48115942,20.407,0,373.706,-0.017679901,0.914483087,5030.5442,3.481017842,12.7480771,23.36072016,0.362927368,1445.136,0.085887,924.01,0.639393109,394.612,0.273062189,0.21156261,248.339,0.171844726,0.415601664,5.062,0.261746305,315.121,-0.062923567,-99.779,-0.037486133,215.342,-0.074259724,0.120254,0.089236,0.105721,0.103992,0.196105,0.118862,6.9435,0.0489,2.5056,0.9413,3.1582,0.087990633,185273.8462,33.8582324,0.51928187,16.88564486,3.182184749,0.035795939,14.44629482,0.196104726,11.771,24.07594937,18.96105359,2611.415,0.052739685
DFS ,0.275415607,0.296,-0.020584393,3926,0.37754386,560,0,20013,0.091399902,3.006353953,37363.4273,4.158885496,6.982513044,12.89728246,0.330429146,8984,0.050722,—,0,5351,0.595614426,0.020833317,2318,0.258014248,0.052794606,4.46,0.106041067,3041,-0.154808227,-144,0.297297297,2897,-0.169199885,0.265521,0.032479,0.0832,0.110106,0.490396,0.241741,—,—,—,—,21.1181,0.0593247,690598.8162,1530.596321,0.124432133,204.6737574,2.403783393,#VALUE!,67.17800678,#VALUE!,#N/A N/A,#N/A N/A,9.329596413,30451,0.107185773
TRIP ,0.967012456,0.296,0.671012456,585.733,2.191448903,0,-1,412.145,-0.034187574,-0.539093168,5815.1089,7.621374705,18.05934441,27.69099476,0.610103279,763,0.197684,751,0.984272608,322,0.422018349,0.078214049,194,0.254259502,0.091868953,1.37,0.012115839,239,0.096924023,-29,0.360033766,210,0.068381504,0.380204,0.181726,0.217477,0.212128,0.387942,0.380204,9.4734,2.4866,3.2329,2.903,8.2414,0.077378453,484444.4444,108.8934049,0.714727317,56.69369216,7.636802097,0.114023591,36.1812217,0.387942333,11,26.90909091,30.59854015,1167.049,0.032681298
V ,0.355878336,0.296,0.059878336,6100,0.484546118,0,0,0,0,-2.46763754,83820.8998,8.043460301,33.90813099,18.09214328,0,10421,0.134197,—,0,2472,0.237213319,-0.569637883,2144,0.205738413,-0.41260274,1.3415,0.332439412,5009,0.293646694,-376,0.065155807,4633,0.316567207,0.079309,0.057347,#VALUE!,#VALUE!,0.205259,0.057563,6.3089,0.3542,1.4818,0.4451,13.3218,0.102792262,1226000,-1112.057542,0.278736977,0,8.608132728,0,0,0.205258612,7,305.5714286,25.02481889,31435,0.039960329
MAA ,0.658846787,0.296,0.362846787,9.075,-0.841670011,35.771,0.226378223,1673.848,0.014603987,6.500505664,4440.5308,9.331041758,17.33911808,-18.76277977,0.094127637,475.888,0.16132,—,0,256.099,0.538149733,0.230511618,105.223,0.221108748,1.155281539,1.3935,1.048963388,210.967,0.224501997,-447.634,-0.027991966,-236.667,-0.178915268,0.128919,0.039846,0.043747,0.048628,0.260364,-0.121119,—,—,—,—,0.4713,0.062935066,343849.711,-103.7343026,0.180208182,176.2273603,5.583824871,#VALUE!,63.79793808,0.260363783,61.489,2.015059604,46.46413328,2623.671,0.021521977
XYL ,0.269189881,0.296,-0.026810119,504,0.58490566,0,0,1205,-0.000829187,1.198290598,5733.47,1.512389871,9.800803419,20.18827465,0.018310684,3791,-0.003155,1502,0.39620153,585,0.154312846,0.09962406,297,0.078343445,0.064516129,1.7261,-0.107220441,396,-0.118040089,-112,-0.111111111,284,-0.120743034,0.152113,0.065426,0.107378,0.10829,0.116856,0.113592,3.8811,0.6453,2.3995,1.6389,3.5357,0.08642438,298503.937,9.527637677,0.835113999,58.1002893,1.328193089,0.02796096,36.74900884,0.116855711,55,8.054545455,15.69973305,3344,0.063695351
MPC ,0.298622909,0.296,0.002622909,4860,0.578434557,411,0,3361,0.016328999,-0.237333756,19891,0.259897562,3.149303357,6.369196286,0.642183755,76534,0.040939,6321,0.082590744,6316,0.082525414,0.377235063,3383,0.044202577,0.416073671,4.7074,0.476414503,4492,0.357509822,-1369,0.155274262,3123,0.470338983,0.319166,0.127964,0.248725,0.215832,0.069525,0.280674,4.8536,0.5925,1.5883,1.1545,3.2812,0.110923771,2945314.605,2085.077802,2.889820269,27.7653862,0.279875611,0,21.73154015,0.069524656,191,27.85863874,6.691553581,18570,0.149442127
AMD ,0.685797594,0.296,0.389797594,1183,-0.381922675,0,0,2042,0.012896825,-1.079145729,2484.64,0.458251568,-3.121407035,-5.275244161,-0.358173176,5422,-0.174482,1235,0.227775729,-796,-0.146809295,-2.162043796,-1183,-0.218185172,-3.409368635,-1.4968,-2.974670185,-338,-1.884816754,-133,-0.468,-471,-4.568181818,-1.111842,-0.264239,-0.3457,-0.348417,-0.194762,#VALUE!,-1.453,0.7173,1.6213,1.1682,-2.5414,0.084491183,#N/A N/A,-1240.156234,1.211078847,379.5539033,0.311597197,0.249723349,79.14728682,-0.19476208,175,-6.034285714,#N/A N/A,2582,-0.656474123
TSCO ,0.735247528,0.296,0.439247528,138.63,-0.216624756,0,0,1.28,-0.028094153,-0.261237392,5942.1649,1.274016299,11.3018978,26.36532803,0.2318879,4664.12,0.101914,1566.054,0.335766232,525.767,0.112725873,0.214102298,276.457,0.059273132,0.241164587,0.95,0.258278146,378.302,0.488534059,-152.924,-0.079636005,225.378,1.561462927,0.271934,0.167466,#VALUE!,0.26674,0.093649,0.221456,10.5553,0.2473,2.0161,0.2473,2.4738,0.10120829,496182.9787,130.7378294,2.825335288,0.124881216,2.666491102,0,0.124725458,0.093649392,#N/A N/A,#N/A N/A,46.03684211,1042.568,0.021721733
RMD ,0.446400228,0.296,0.150400228,809.541,0.101016365,0,0,250.835,1.504268043,-1.469262063,3872.3502,2.829600114,10.18334731,11.52402864,-0.045994736,1368.515,0.100846,820.735,0.599726711,380.263,0.277865423,0.126571666,254.85,0.186223753,0.12275647,1.7275,0.191790273,383.159,0.353010346,-47.135,-0.292362894,336.024,0.551493437,0.15268,0.121161,0.140146,0.121651,0.215129,0.15268,8.0963,3.2016,5.3832,4.3215,8.129,0.083072502,#N/A N/A,66.15977958,0.650621816,15.60281085,3.326314436,0.080183995,13.49691304,0.215128808,4.786,61.51420811,18.06096967,1879.968,0.055368013
MTD ,0.216903736,0.296,-0.079096264,101.702,-0.568329506,0,0,388.731,-0.230258507,0.622308031,6165.2832,2.633017073,13.3669603,26.56121594,0.249148723,2341.528,0.013943,1241.055,0.530019287,461.233,0.196979494,0.087095786,290.847,0.12421248,0.07923768,9.4715,0.152741435,327.704,0.166704643,-95.588,-0.029563452,232.116,0.27270534,0.36167,0.137654,0.246314,0.225932,0.173585,0.36167,7.4458,0.181,1.5378,0.9592,3.4283,0.114313235,188832.9032,146.3712955,1.108215749,46.99251347,2.562817116,0.048058362,31.9693244,0.173585368,22.764,17.85516605,20.40857266,1321.795,0.048999017
CPRT ,0.380379675,0.296,0.084379675,140.112,0.893175154,0,0,444.12,0.181937215,0.908788712,3259.6023,3.526979055,9.74411784,18.64323757,0.877957344,924.191,0.059553,409.616,0.443215742,334.52,0.361959811,0.07568235,182.119,0.197057751,0.094629602,0.7268,0.338489871,229.673,-0.054579059,-54.832,-0.21858344,174.841,0.012033896,0.326294,0.16272,0.195796,0.193873,0.309842,0.326294,5.5991,0.752,1.7241,1.0373,4.1887,0.075236203,310027.1721,96.88113794,0.825747084,79.14926833,3.293833418,0,44.18062606,0.309841797,11.341,25.24936073,16.34627689,996.145,0.06117601
FTNT ,-0.083177348,0.296,-0.379177348,413.694,0.060011838,0,0,0,0,-3.692410678,2956.821,5.540863767,26.39099778,18.27646292,-0.011130555,533.639,0.230785,386.219,0.723745828,112.039,0.209952796,0.168375168,66.836,0.125245719,0.069512898,0.3906,0.056532324,183.866,0.384095392,-22.083,5.093543046,161.783,0.252015973,0.153772,0.07816,#VALUE!,0.147074,0.188283,0.153772,5.6981,1.2956,1.7829,1.6327,8.3261,0.121708833,273100.8188,1.758945865,0.624050136,0,6.226522949,0.151934173,0,0.188282715,#N/A N/A,#N/A N/A,53.81175103,511.049,0.018583302
ALB ,-0.081096212,0.296,-0.377096212,477.696,0.017638939,98.41,0.124043404,699.288,-0.084309646,0.43863622,5842.4079,2.128056144,11.5649108,28.10295633,0.178378332,2745.42,-0.043076,909.995,0.331459303,505.184,0.184009733,-0.177957097,311.536,0.113474805,-0.205496361,4.383,0.020845464,488.766,0.002886989,-280.873,0.47382644,207.893,-0.299516485,0.181925,0.09382,0.140211,0.162304,0.147942,0.140259,4.7396,1.2407,3.6553,2.2251,1.7402,0.132652287,#N/A N/A,0.071608539,0.826794898,36.19488118,2.018059415,0.028745693,26.57580143,0.147942391,32.8,12.38304878,14.17282773,2637.363,0.07055755
ESS ,0.00485633,0.296,-0.29114367,18.606,0.443556521,193.411,-0.004575399,2824.075,0.192920139,8.03042464,8343.2451,15.50255971,23.88185399,-33.71239681,0.141286159,538.185,0.139033,—,0,349.355,0.64913552,0.1624127,119.812,0.222622332,1.967994451,3.2128,2.179416131,267.499,0.235156138,-514.982,1.22019021,-247.483,15.08808425,0.078441,0.028204,0.032335,0.04836,0.310349,-0.033644,—,—,—,—,0.5194,0.068882269,470441.4336,-218.912205,0.121155712,149.8608358,9.546001477,#VALUE!,59.97772133,0.310348672,100.244,1.66618451,45.64609692,4708.54,0.021907678
O ,0.443392205,0.296,0.147392205,5.248,0.26002401,628.75,0.809352518,2869.853,0.396399149,6.865391022,8859.4764,18.28275644,21.23286447,-12.73260861,0.255594034,484.581,0.175141,—,0,417.253,0.861059348,0.140194399,114.538,0.236365025,-0.137378652,0.7574,-0.167692308,326.469,0.092044877,-1022.279,0.067824937,-695.81,0.056827588,0.062057,0.032319,0.033182,0.055821,0.556642,-0.088712,—,—,—,—,0.3194,0.055017757,4995680.412,-146.4387952,0.098404699,118.9431423,11.02104818,#VALUE!,54.32604147,0.556641717,123.143,2.190445255,53.09056821,5282.647,0.018835737
STX ,0.645266203,0.296,0.349266203,2118,-0.327832434,0,0,2863,-0.184794989,0.189954105,10538.8937,0.705461791,2.68712231,4.013287776,0.442173619,14939,0.361681,4684,0.313541736,3922,0.262534306,1.514102564,2862,0.191579088,4.600782779,6.5492,4.365557922,3262,1.580696203,-636,-0.245551601,2626,5.237529691,0.960403,0.296105,0.50285,0.532648,0.208046,0.837463,3.8737,0.6237,1.8581,1.3065,5.1289,0.111115961,#N/A N/A,2400.624895,1.545600331,81.87017444,0.705199813,0.067340518,45.01572327,0.208046054,241,12.89626556,3.776042939,5974,0.264827497
WRK ,0,0.296,-0.296,37.2,-0.107913669,0.5,-0.285714286,3412.5,-0.009663939,3.17138025,—,0,0,0,0,9207.6,0.705237,1532.7,0.166460315,1064.3,0.115589296,0.674217398,248.3,0.026966853,0.7773801,2.2423,-0.165314175,656.7,0.422352177,-469.4,1.354062187,187.3,-0.285932139,0.073274,0.023441,0.048367,0.051538,0.057561,0.056465,—,0.0264,1.5549,0.7902,1.399,0.058353212,350098.8593,567.0566458,0.866471244,100.1849568,#N/A N/A,#VALUE!,50.04619649,0.057561145,119.7,4.427736007,#N/A N/A,7697.3,#VALUE!
INFO ,0,0.296,-0.296,113,-0.243134628,193.2,0.013641133,653.7,1.941944194,1.555076215,—,0,0,0,0,860.6,0.128656,—,0,347.7,0.404020451,0.046028881,125,0.145247502,-0.0063593,8.8546,0.145159204,340.8,0.057399938,-28.8,1.071942446,312,0.011673152,0.069885,0.043106,0.072712,0.072663,0.272833,0.069885,—,0.2241,0.6061,0.4911,11.8333,0.082563207,307357.1429,19.58909478,0.296779088,33.87573198,#N/A N/A,0,25.30386313,0.272832907,29.1,8.068728522,#N/A N/A,2718.3,#VALUE!
WDC ,0.962546412,0.296,0.666546412,3208,-0.080802292,0,0,2185,6.431972789,-0.394067797,6475.08,0.518919699,2.494252696,2.755353191,0.212307531,12478,0.309889,3638,0.291553134,2596,0.208046161,0.877078814,1612,0.12918737,1.220385675,7.5404,1.351818352,3067,0.853172205,-717,-0.07840617,2350,1.67958951,0.245041,0.144419,#VALUE!,0.207648,0.14193,#VALUE!,3.3928,0.7956,1.7711,1.3819,4.2775,0.107112302,#N/A N/A,555.649623,1.117900018,28.49132873,0.588690495,0.088155153,22.17373655,0.141929796,#N/A N/A,#N/A N/A,4.042221588,9863,0.247388714
PEP ,0.204152752,0.296,-0.091847248,6619,0.495819209,146,-0.585227273,28359,0.059238785,1.842216761,126908.88,1.937776828,10.75407847,22.01368257,0.003459122,65492,-0.015217,34201,0.522216454,11801,0.180189947,-0.045998383,6183,0.094408477,-0.039310131,4.0952,-0.074154458,8479,-0.051990161,-2714,-0.187181791,5765,0.028545941,0.288925,0.083758,0.139932,0.139008,0.139131,0.134159,5.0474,0.3873,1.0954,0.751,3.1242,0.054931172,235582.7338,6163.017707,0.887906725,126.6083307,1.617100409,0.010963171,55.87099571,0.139131497,899,10.13570634,16.60953527,53464,0.06020638
FANG ,2.52252905,0.296,2.22652905,26.358,2.874808891,0,0,0.338,-0.996023529,-0.682223388,681.1625,9.797797819,17.85953068,-10.77669404,0,69.522,0.429489,22.243,0.319941889,38.14,0.54860332,0.236064299,-36.521,-0.525315727,65.99871583,-1.9382,-4.436524823,49.692,0.63545527,-112.899,0.369392295,-63.207,0.214108996,-0.126608,-0.085311,-0.131953,-0.065271,0.170694,#VALUE!,2.9354,0.3327,0.6345,0.5099,0.4401,0.110891648,1336961.538,-36.89031002,0.162399503,0.073149407,5.42361316,0,0.073095937,0.170694169,3.61,3.287257618,#N/A N/A,522.594,-0.101368515
NKTR ,0.548126194,0.296,0.252126194,277.194,0.149381344,0,0,139.577,-0.391919386,1.08622418,716.4522,8.824281016,-5.655025929,-5.105153949,0.139191996,81.191,0.135856,50.763,0.625229397,-126.693,-1.560431575,0.162470409,-171.855,-2.116675494,0.282710594,-1.4905,0.26905066,-129.756,0.140792319,-10.583,0.088562024,-140.339,0.136679518,-1.403878,-0.311236,-0.527043,-0.495791,-1.739121,#VALUE!,-4.3235,3.5295,4.0061,3.6034,-12.2608,0.126791065,187508.0831,-166.1636398,0.147039861,296.8586499,10.47919351,1.831175869,74.80211152,-1.739121331,15.489,-9.116211505,#N/A N/A,186.595,-0.201149528
MXIM ,0.064542737,0.296,-0.231457263,956.386,-0.055782136,0,0,309.088,0.030293333,-0.867816161,6858.3505,2.853450281,9.194818158,13.92914837,0.069043043,2403.529,-0.027833,1450.852,0.603634073,745.893,0.310332432,-0.150561268,386.727,0.16089966,-0.209161795,1.2541,-0.236840504,756.722,-0.121575847,-264.348,0.508379314,492.374,-0.282463884,0.153187,0.106453,0.139781,0.116259,0.222505,0.041972,6.6048,1.2661,2.2497,1.6863,2.8626,0.116795311,265143.85,113.5078641,0.661610757,12.17707918,3.123593849,0.229819986,10.85522931,0.222504908,13.1,40.82419847,20.44565793,3152.363,0.04891014
